id_time,id_city,id_product,spot,min,max,average,_id
3,1,27,Feria libre,800,1000,900.0,143
3,1,27,Feria libre,700,700,700.0,144
3,1,28,Feria libre,40,45,42.5,145
3,1,29,Feria libre,400,450,425.0,146
3,1,29,Feria libre,300,300,300.0,147
3,1,30,Feria libre,300,400,350.0,148
3,1,30,Feria libre,250,250,250.0,149
4,1,1,Feria libre,100,150,125.0,150
4,1,2,Feria libre,800,800,800.0,151
4,1,3,Feria libre,600,700,650.0,152
4,1,3,Feria libre,500,500,500.0,153
4,1,4,Feria libre,230,250,240.0,154
4,1,4,Feria libre,150,200,175.0,155
4,1,5,Feria libre,350,400,375.0,156
4,1,5,Feria libre,300,330,315.0,157
4,1,6,Feria libre,600,700,650.0,158
4,1,6,Feria libre,500,500,500.0,159
4,1,8,Feria libre,250,300,275.0,160
4,1,8,Feria libre,200,200,200.0,161
4,1,9,Feria libre,700,800,750.0,162
4,1,9,Feria libre,500,500,500.0,163
4,1,10,Feria libre,900,1000,950.0,164
4,1,11,Feria libre,250,300,275.0,165
4,1,31,Feria libre,500,600,550.0,166
4,1,31,Feria libre,300,350,325.0,167
4,1,13,Feria libre,350,400,375.0,168
4,1,14,Feria libre,300,350,325.0,169
4,1,33,Feria libre,300,350,325.0,170
4,1,34,Feria libre,300,400,350.0,171
4,1,34,Feria libre,200,250,225.0,172
4,1,17,Feria libre,300,400,350.0,173
4,1,17,Feria libre,200,200,200.0,174
4,1,18,Feria libre,1200,1500,1350.0,175
4,1,19,Feria libre,1300,1400,1350.0,176
4,1,32,Feria libre,300,350,325.0,177
4,1,22,Feria libre,500,600,550.0,178
4,1,23,Feria libre,400,500,450.0,179
4,1,23,Feria libre,300,300,300.0,180
4,1,24,Feria libre,400,400,400.0,181
4,1,26,Feria libre,500,600,550.0,182
4,1,27,Feria libre,800,1000,900.0,183
4,1,28,Feria libre,45,50,47.5,184
4,1,29,Feria libre,350,400,375.0,185
4,1,30,Feria libre,350,400,375.0,186
4,1,30,Feria libre,300,330,315.0,187
5,1,1,Feria libre,100,100,100.0,188
5,2,1,Feria libre,100,150,125.0,189
5,2,2,Feria libre,700,800,750.0,190
5,1,3,Feria libre,500,600,550.0,191
5,2,3,Feria libre,600,600,600.0,192
5,1,3,Feria libre,350,450,400.0,193
5,2,3,Feria libre,450,500,475.0,194
5,1,4,Feria libre,230,250,240.0,195
5,2,4,Feria libre,250,250,250.0,196
5,1,4,Feria libre,50,200,125.0,197
5,2,4,Feria libre,200,200,200.0,198
5,1,5,Feria libre,400,500,450.0,199
5,1,6,Feria libre,500,600,550.0,200
5,2,6,Feria libre,600,600,600.0,201
